Question,Option1,Option2,Option3,Option4,answer
What does legend say about the colours of the opal?,A: They are amazing,B: Santa Clause created the colours of the opal,C: A rainbow touched the earth and created the colours of the opal,D: A rainbow touched the earth and created the colours of the turquoise,4
Can people express any idea they want in Australia?,A: Yes they can say anything they want to,B: No they can’t express any idea,C: Yes they can express their ideas freely as long as it is within the law,D: None of the above,4
What does Tasmania have in abundance?,A: Islands,B: Unkept wilderness,C: Unspoilt wilderness landscapes,D: None of the above,4
Who has the power to pass laws in their own right?,A: The Territories,B: The country,C: States,D: All of the above,4
In Australia what is an elected member of the local council called?,A: The Mayor,B: The Councillor,C: The Major,D: Both A and B,4
What does a political party work together for?,A: To have the party’s ideas turn into laws,B: To ensure they always win the elections,C: Both A and B,D: None of the above,4
Why do people come over to Australia?,A: To start a new life,B: To escape poverty war or persecution,C: To join their family,D: All of the above,4
What does the shield in the centre of the Commonwealth Coat of Arms represent?,A: The 5 states and federation,B: The 6 states and federation,C: The 7 states and federation,D: The 8 states and federation,4
How can active citizens make Australian society better?,A: By joining arts or cultural organisations,B: By doing volunteer work,C: By joining neighbourhood and local community organisations,D: All of the above,4
Who has a responsibility to try and support themselves and their families when they are able to do so?,A: Housewives,B: Everyone,C: Men,D: Women,4
What happens if you do not vote in an election and do not have a good reason for not voting?,A: You can go to jail,B: You may have to pay a fine,C: You may have to stand in the next election,D: A and D,4
What opportunity does citizenship give to the people?,A: Opportunity to fully participate in the nation’s life and community,B: Opportunity to call themselves people of the World,C: Opportunity to partially participate in the nation’s life and community,D: None of the above,4
How are local councillors elected?,A: The Queen personally selects them,B: The citizens of the area elect them through voting,C: They are elected by the Prime Minister,D: Any of the above,4
Under what circumstances can a woman get a job ahead of a man?,A: Because she is a woman,B: If she needs the job,C: If she has better qualifications and skills,D: All of the above,4
Which two national icons are located in Sydney?,A: The Opera House,B: The Big Ben,C: The Sydney Harbour Bridge,D: Both A And C,4
What role does the Governor-General have in the Australian Defence Force?,A: The Governor-General does not have any role in the Australian Defence Force,B: The Governor-General acts as the Commander-in-Chief of the British Defence Force,C: The Governor-General acts as the Commander-in-Chief of the Australian Defence Force,D: None of the above,4
What is online or cyber abuse?,A: When you fight with someone online,B: Stalking a person online or making racially abusive comments,C: Both A and B,D: There is no online abuse,4
How many MP’s are elected to the House of Representatives?,A: 10,B: 50,C: 100,D: 150,4
What is the privilege Australian citizens have regarding the Australian Public Service?,A: They can apply for a job in the Australian Public Service,B: They are not allowed to apply for a job in the Australian Public Service,C: It depends on the person,D: None of the above,4
What does the bottom half of the Australian Aboriginal Flag represent?,A: The earth,B: The sky,C: The world,D: The country,4
When were the Aboriginal and Torres Strait Islander people included in the official estimate of the Australian population?,A: After they protested,B: After they grew in numbers,C: Both A and B,D: After the Referendum,4
What are some examples of emergency cases in which Australian citizens might need help overseas?,A: Natural disaster,B: Civil unrest,C: None of the above,D: Both A and B,4
What was the population of Australia in 1901?,A: 1 million,B: 2 million,C: 3 million,D: 4 million,4
What special powers does the Governor-General have?,A: He has special powers know as “reserve powers”,B: He does not have any special powers,C: He has non-reverse powers,D: None of the above,4
Who is the Chief Minister?,A: The leader of the Australian Government,B: The representative of the Head of State in each Australian state,C: The representative of the Head of State in Australia,D: The leader of a territory government,4
What is the responsibility for Australian citizens aged 18 years or over regarding voting?,A: They can vote if they feel like it,B: They should vote only in the territory elections,C: It is mandatory to vote only in federal elections,D: They should vote in federal and state or territory elections,4
Who is the highest authority in court?,A: The judge or magistrate,B: The Prime Minister,C: The Queen,D: All of the above,4
What is the National Anthem of Australia?,A: Advance Australia Fair,B: Australian Anthem,C: The Fair of Australia,D: None of the above,4
What does the blue panel represent In Torres Strait Islander Flag?,A: The sea,B: The ocean,C: The river,D: The pond,4
What is the other name for the House of Representatives in the Parliament?,A: The Lower House,B: The Parliament House,C: The House of Lord’s,D: Both A and C,4
Who makes up the cabinet?,A: The senators,B: All the ministers,C: Both A and B,D: Only the ministers with the most important portfolios,4
Which is the largest city in Australia?,A: Melbourne,B: Sydney,C: Victoria,D: Perth,4
Which culture is an important part of Australia’s identity?,A: Indian culture,B: Homogenous culture,C: Indigenous culture,D: None of the above,4
Is there a separate Governor-General for each state?,A: No there is only one and states are also ruled by him and no one else,B: Yes there are Governor-Generals for few states,C: No there are separate prime ministers for each state who represent the Queen,D: Yes but there are Governors for each state who represent the Queen in a role similar to the Governor-General,4
What do the black lines represent on the Torres Strait Islander Flag?,A: The ocean,B: The sun,C: The Aboriginal people,D: The Torres Strait Islander people,4
Who should be provided equal opportunity to pursue their goals and interests regardless of their ethnicity or religion?,A: The Australians,B: The government officials,C: Both A and B,D: Anyone present in Australia,4
When did the Aboriginal people arrive in Australia?,A: 500 years ago,B: Between 65000 and 40000 years ago,C: 1000 years ago,D: 5000 years ago,4
What difference of treatment do the people get based on religion in Australia?,A: Christians are treated better,B: Muslims are treated better,C: Everyone is treated the same based on religion,D: Your religious beliefs decide how you are treated under law.,4
What happens when there is a conflict between an Australian Law and a religious practice?,A: Religion wins over everything,B: If it is Christianity religion wins,C: If it is Islam law wins,D: Law wins under all circumstances,4
What is a jury?,A: A group of extraordinary Australian men who listen to the evidence in a court case,B: A group of ordinary Australian men and women who listen to the evidence in a court case,C: A group of extraordinary Australian women who listen to the evidence in a court case,D: A group of ordinary Australian women who listen to the evidence in a court case,4
How is a Welcome to Country conducted?,A: Through speeches and dances,B: Through songs and smoking ceremonies,C: Both A and B,D: None of the above,4
What are some examples of undermining Australia’s interests and damaging community relations?,A: Promoting distrust in and fear of an ethnic community,B: Sharing official government secrets,C: None of the above,D: Both A and B,4
What is the official symbol of the Commonwealth of Australia?,A: The Commonwealth Coat of Arms,B: The Commonwealth Coat of Diamonds,C: The Kangaroo,D: None of the above,4
What happens if someone who does not know about the law ends up breaking it?,A: You will not be charged as you did not know the rule,B: You could be charged as not knowing the law is no excuse,C: You will be punished and hanged,D: Both B and C,4
How many religions are there in Australia?,A: Christianity,B: Only Buddhism,C: Different religious groups,D: Only Islam,4
Who debates proposals for new laws in the Australian Parliament?,A: Only the senators,B: Only the MP’s,C: Both the senators and the MP’s,D: No one the laws are decided by the judges,4
What are some of the icons in Tasmania?,A: Bass strait and the Bay of Fire,B: Cradle Mountain Port Arthur and the Bay of Fires,C: All of the above,D: None of the above,4
What type of violence is illegal in Australia?,A: Physical abuse,B: Verbal abuse,C: Both A and B,D: None of the above,4
Which religion should people in Australia follow?,A: Christianity - as most of the people there are Christains,B: Buddhism - as it is a religion of peace,C: Islam - as it the religion of most of the people in Australia,D: They can choose any religion they want,4
What are some of the responsibilities of the Australian Government?,A: Taxation national economic management immigration and citizenship employment assistance.,B: Schools,C: Hospitals,D: All of the above,4
When were the Aboriginal and Torres Strait Islander people included in the official estimates of the Australian population?,A: 1965,B: 1966,C: 1967,D: 1968,4
What is the power to make laws called?,A: Judicial power,B: Law and order power,C: Legislative power,D: Executive power,4
Where can people meet and conduct social and political discussions?,A: Only at their home,B: Any public or private place,C: Away from public eye,D: Only publicly,4
What are the colours of the Australian National Flag?,A: Blue white yellow,B: blue  white orange,C: Blue white red,D: Red blue green,4
What is the law against bribing the police or offering a police officer a bribe?,A: A small crime,B: It is not a crime,C: A serious crime,D: Depends on who you are bribing and why,4
What is located in the south of the Northern Territory?,A: An island,B: An oasis,C: A ship,D: The red desert,4
Who are custodians of the local region?,A: The Aboriginal and Torres Strait Islanders,B: The Americans,C: The Austrians,D: All of the above,4
How do the representatives in Parliament answer to the people?,A: By taking their calls,B: By replying to their letters,C: Through elections,D: All of the above,4
What does a jury do?,A: They listen to evidence in a court case,B: They make sure that everyone gets a chance to trial,C: They are just there to listen to what the judge says,D: None of the above,4
On which Act is the Australian Constitution based?,A: The Commonwealth of Australia Constitution Act 1900,B: The Commonwealth of Australia Constitution Act 1901,C: The Commonwealth of Australia Constitution Act 1902,D: The Commonwealth of Australia Constitution Act 1903,4
What is the climate of Queensland like?,A: Dry Inland,B: Tropical forests,C: Temperate coastal areas,D: All of the above,4
Where does the tree of the golden wattle grow?,A: In the outskirts of Australia,B: In north-eastern Australia,C: In south-eastern Australia,D: It grows all over Australia,4
Who is an elected representative of a state or territory in the Australian Parliament?,A: The Monarch,B: The ruling party,C: Both A and B,D: A senator,4
How much influence does the government have on the AEC?,A: It is partly owned by the government,B: It is owned and run by the government,C: It is independent of the government,D: It is run by the monarch,4
Which is the first item of proceedings to open an event?,A: A speech,B: Welcome to Country,C: Dance,D: Songs,4
Where do the Aboriginal people hail from?,A: Mainland Australia and Tasmania,B: Mainland Australia and Gulf of Mexico,C: Mainland Australia only,D: Both A and B,4
Why is no one allowed to know who you have voted for?,A: To ensure that the voting process is free and safe,B: So that you don’t vote if you don’t want to,C: So no one can copy who you have voted for,D: Both B and C,4
What do we reflect on Anzac day?,A: On the many different ways of war,B: On the many different ways of fighting,C: On the many different meanings of war,D: All of the above,4
How do Australian citizens directly contribute to the Australian community?,A: By inviting new immigrants,B: By paying taxes,C: By doing business,D: By helping politicians,4
Who were the Aboriginal and Torres Strait Islander people?,A: People who live in Australia today,B: People who lived in Australia during the 15th century,C: The descendants of the first inhabitants of Australia,D: The First inhabitants of Australia,4
What does freedom of speech mean?,A: You can say what you think,B: You can write what you think,C: You can discuss ideas with others,D: All of the above,4
How is the deep connection of Aboriginal and Torres Strait Islander peoples felt with the country?,A: It is expressed in their art,B: It is expressed in their stories,C: It is expressed in their dance,D: All of the above,4
Who came together to help when the Bushfire of Australia occurred?,A: Australian citizens,B: Many multicultural communities,C: No one,D: The world,4
Who can be represented by a lawyer in court?,A: The criminals only,B: The people who are innocent only,C: Everyone has a right to be represented by a lawyer,D: No one,4
Who do the Courts and Judges answer to?,A: The Parliament and Government,B: They are independent of the government and Parliament,C: They are answerable to the jury,D: They are answerable to the people,4
Is online abuse accepted in Australia?,A: No,B: Yes,C: Depends on who is the abuser,D: Depends on who is being abused,4
How easily was the nation united under one Australia?,A: It was very easy to unite the colonies together quickly,B: It was very easy to unite the colonies together but it took time,C: It was very difficult to unite the colonies together and that never happened,D: It was very difficult to unite the colonies together but over time it happened,4
What sort of protests can Australians carry out?,A: Violent,B: Peaceful,C: Depends on what they are protesting against,D: They can’t carry out protests,4
How can Australian citizens make sure their children born overseas are also Australian citizens?,A: By applying for their children to become an Australian citizen by descent,B: By applying for their children to become an Australian citizen through taking a test on their behalf,C: Both A and B,D: None of the above,4
Why is voting compulsory?,A: To ensure law and order is maintained.,B: To ensure citizens pay tax and a record is maintained,C: Both A and B,D: To ensure that people have a say in who will govern and represent them in the parliament,4
What is multiple or dual citizenship?,A: When Australian citizens hold the citizenship of another country or countries,B: When citizens hold citizenship of only one more country,C: None of the above,D: Dual citizenship does not exist,4
How many mainland territories are there in the Commonwealth of Australia?,A: 1,B: 2,C: 3,D: 4,4
What is the capital of Australia?,A: Sydney,B: Melbourne,C: Canberra,D: Perth,4
What are some areas which government ministers are responsible for?,A: Employment Indigenous Affairs or the Treasury,B: Employment deployment Indigenous Affairs or the Treasury,C: Employment Education or the Treasury,D: All of the above,4
When is the National Anthem of Australia sung?,A: Everyday,B: On occasions of national importance,C: Before musical festivals,D: All of the above,4
In how many parts does the Australian government divide power?,A: 1,B: 2,C: 3,D: 4,4
How many colonies was Australia made up of before 1901?,A: 2,B: 4,C: 6,D: 8,4
What is an Acknowledgement of Country?,A: An opportunity to recognize that the gathering is on Aboriginal or Torres Strait Islander land,B: An opportunity to recognise that the gathering is on Australian or Austrian land,C: To see who can afford to come to the country,D: None of the above,4
When do Australians come together?,A: When they are happy,B: When they are upset,C: In times of crisis,D: None of the above,4
Who is a Member of Parliament (MP)?,A: An elected representative of the people in the Australian Parliament or a state parliament,B: An elected representative of the people in only the Australian Parliament,C: An elected representative of the people in only the state parliament,D: None of the above,4
What was the Australian Constitution originally passed as?,A: The Australian Constitution was originally passed as part of a British Act of Parliament 1988.,B: The Australian Constitution was originally passed as part of a British Act of Parliament 1989,C: The Australian Constitution was originally passed as part of a British Act of Parliament 1900,D: The Australian Constitution was originally passed as part of a British Act of Parliament 1991,4
When were all the colonies of Australia united under one state?,A: On 1 January 1901,B: On 1 January 1902,C: On 1 January 1903,D: On 1 January 1904,4
What happened in the bushfire of Australia?,A: Loss of life property and wildlife,B: Environmental destruction,C: Both A and B,D: None of the above,4
What happens if the majority members of each of the two Houses agree to the Bill?,A: It becomes law,B: It goes to the Governor-General,C: It is debated upon again,D: None of the above,4
What does each local government in the states and the Northern Territory have?,A: Churches,B: Restaurants,C: A local council,D: A local bar,4
Who is part of the jury?,A: Extraordinary Australian citizens,B: Ordinary Australian citizens,C: People of political parties only,D: Both A and C,4
What happens to the representatives who have been elected by the Australian citizens?,A: They are eligible to become a Monarch,B: They are eligible to work for the people from their homes,C: Both A and B,D: They become members of the relevant state or territory parliament,4
Who can express their ideas freely?,A: All the people in Australia,B: Only white people in Australia,C: People of colour in Australia,D: No one,4
What sort of majority should be there in a referendum for the Australian Constitution to be changed?,A: Double majority,B: Half majority,C: 3/4th majority,D: 1/4th majority,4
How are different states represented in the Senate?,A: The states with higher population get greater representation in the Senate,B: The states which are greater in size get greater representation in the Senate,C: All states are equally represented in the Senate regardless of their size or population,D: No state has any separate representation in the Senate,4
How many senators does each state in Australia select?,A: None,B: 12,C: 24,D: 46,4
Which two animals support the shield on each side?,A: A kangaroo and deer,B: A kangaroo and elephant,C: A kangaroo and emu,D: All of the above,4
What should you do if you see a child being abused?,A: Run and inform authorities,B: Report to the police to investigate,C: Fight with the culprit,D: All of the above,4
Whose rights does the Australian Constitution recognize?,A: States,B: Territories,C: Both A and B,D: None of the above,4
What is Australia’s democratic system based on?,A: That Aboriginals have more rights and responsibilities under Australian Law,B: That natives have more rights and responsibilities under Australian Law,C: That foreigners have more rights and responsibilities under Australian Law,D: That every individual regardless of their background has rights and equality under Australian law,4
Who can work for the Australian Government?,A: The eldery,B: Australian citizens,C: Australian men,D: Australian women,4
Why are laws made?,A: To ensure fights occur in the society,B: To maintain dignity of the people,C: To maintain an orderly free and safe society to protect our rights,D: To ensure there are honest and religious people,4
Who can serve in a jury if called upon?,A: Australian citizens over 14 years old,B: Australian citizens over 16 years old,C: Australian citizens over 18 years old,D: Australian citizens over 20 years old,4
How does the state government operate?,A: Every state has their own rules and regulations of operation,B: They operate on the rules set by the Queen,C: They don’t have any specific role to play,D: They operate in a way similar to the Australian Government,4
What role do Australian values have?,A: They define and shape the country,B: They are a reason why so many people want to become Australian citizens,C: Both A and B,D: None of the above,4
From where can you get more information about domestic or family violence?,A: www.respect.gov.au,B: www.google.com,C: www.1800respect.org.au,D: Both A and C,4
Who is the Leader of the Opposition?,A: The leader of the party that has the majority of members in the House of Representatives,B: The owner of the party that has the majority of members in the House of Representatives,C: The leader of the party that has the majority of members in the Senate,D: The leader of the party that has the second highest number of members in the House of Representatives,4
Which place in Turkey did the Army Corps land?,A: Gallipoli,B: Cappadocia,C: Istanbul,D: Antalya,4
What type of projects are carried out in Western Australia?,A: Agricultural,B: Mining,C: Both A And B,D: None of the above,4
Who is the Governor-General?,A: The leader of the ruling party,B: Australia’s Head of State,C: Appointed by the Queen of Australia as her representative,D: Both A and C,4
What is Tasmania?,A: An ocean,B: A sea,C: An island,D: All of the above,4
In Australia what is compulsory for citizens?,A: Running for elections,B: Selecting your candidate to run for elections,C: Voting in elections,D: All of the above,4
What is the “First Fleet”?,A: The first 11 convict ships that arrived from Great Britain to Australia,B: The first 10 convict ships that arrived from Great Britain to Australia,C: The first 9 convict ships that arrived from Great Britain to Australia,D: The first 8 convict ships that arrived from Great Britain to Australia,4
What are some of the icons located in the Northern Territory?,A: Uluru Kata Tjuta and Kings Canyon,B: Parliament House and the High Court of Australia.,C: Ningaloo Coast Margaret River and the Kimberley region,D: All of the above,4
Who does the Governor-General appoint to look after matters in the Northern Territory?,A: A senator,B: An administrator,C: Chief of Army staff,D: Any of the above,4
What is your duty if you know someone is in danger?,A: You should contact the police,B: You should contact the government,C: You should contact the welfare agency,D: All of the above,4
Does the law allow discrimination against a person because of their gender in Australia?,A: Yes but only under some circumstance,B: Yes, always.,C: No, it does not allow,D: Men are given priority,4
Why is it important to communicate in English?,A: To save yourself from the police,B: To save yourself from confusion,C: Both A and B,D: To make the most of living and working in Australia,4
In Torres Strait Islander Flag which symbol represents the Torres Strait Islanders?,A: The yellow circle in the middle of the flag,B: The red dancer’s headdress in the centre,C: The white dancer’s headdress in the centre,D: The orange white dancer’s headdress in the centre,4
What responsibility do the Australian Citizens have?,A: To help protect Australian society,B: To help fight in battles,C: To help them win wars,D: All of the above,4
What does the official symbol of the Commonwealth of Australia represent?,A: Peace,B: Tranquillity,C: National unity,D: All of the above,4
Who is protected by the law and legal system of Australia?,A: Only immigrants,B: All Australians,C: Only tourists visiting the country,D: Only native Australians who were born in the country,4
In the Australian system who is the leader of the Australian Government?,A: The President,B: The Queen,C: The King,D: The Prime Minister,4
In Australia who has superiority over the other under the Rule of Law?,A: Native Australians are superior than the others in relation to the law,B: All Australians are equal in relation to the law,C: Tourists are considered the most superior than others in relation to the law,D: Both A and C,4
What should you do if the police ask you to do something?,A: You need to do it whether it is a lawful or unlawful request,B: You can refuse to do it whether it is a lawful or unlawful request,C: You should obey if it is an unlawful request,D: You should obey if it is a lawful request,4
What law does Australia have against religious intolerance?,A: It is acceptable,B: It is not acceptable,C: It depends on how much intolerance has occurred,D: It results in hanging of the person,4
Who has the right to make their own choices?,A: Men,B: Women,C: Both men and women,D: No one,4
What association do the Aboriginal people have in the creation of Australia?,A: They played no role in the creation of Australia,B: They were somewhat involved in the creation of Australia.,C: They were central to the creation of Australia,D: They migrated to Australia after it was booming,4
Which government is responsible for parks playgrounds swimming pools sports grounds camping grounds and caravan parks?,A: Australian government,B: Local government,C: Both A and B,D: None of the above,4
Both the animals on the sides supporting the shield on the Commonwealth Coat of Arms are native to which country?,A: America,B: Australia,C: India,D: Austria,4
Where are the Australian of the Year Awards held?,A: Perth,B: Darwin,C: South Wales,D: Canberra,4
How many levels of Government does Australia have?,A: 1,B: 2,C: 3,D: 4,4
What is domestic or family violence?,A: Violence within the home and within marriage,B: Violence with your neighbours,C: Violence in the community,D: All of the above,4
What role does the Governor-General have in appointing the representatives of the Australian Government?,A: He selects and short lists the ministers federal judges and other officials of the Australian government,B: He approves the appointment of the Australian Government and its ministers federal judges and other officials,C: Both A and B,D: None of the above,4
Can religious laws go against laws in Australia?,A: No religious laws do not go against the law in Australia,B: Yes all of the religious laws go against the law in Australia,C: Some religious or cultural practices such as polygamy and forced marriage are against the law,D: There are no religious laws in Australia,4
What is the role of the police?,A: The police catch criminals only,B: The police maintain peace in the community,C: The police maintain order in the community,D: Both B and C,4
What are some of the crimes that the national police force of Australia investigate?,A: Crimes against federal laws,B: Crimes against provincial laws,C: Crimes against local laws,D: All of the above,4
Which values are central to the Australian community to make it a secure prosperous and peaceful place to live in?,A: Values based on freedom respect fairness and equality of opportunity,B: Values based on white-supremacy respect fairness and equality of opportunity,C: Values based on freedom respect fairness and preference to White people,D: All of the above,4
What is the capital of New South Wales?,A: Sydney,B: Canberra,C: Melbourne,D: New Castle,4
What happens if you are not correctly enrolled?,A: You can vote but your vote will not count,B: You can vote,C: You will not be able to vote,D: You can go to jail,4
What are the characteristics of the Golden Wattle Tree?,A: It has bright green leaves and many golden yellow flowers in spring,B: It has bright orange leaves and many golden yellow flowers in spring,C: It has bright green leaves and many yellow flowers in spring,D: It has bright red leaves and many golden yellow flowers in spring,4
After which election is the Australian government formed?,A: The local elections,B: The world elections,C: The federal elections,D: Both A and C,4
What can the locals of Australia go up to the police with?,A: To report crimes,B: To seek assistance,C: None of the above,D: Both A and B,4
Where did the army corps land during world war I ?,A: In Russia,B: In Turkey,C: In Austria,D: In Australia,4
What is the Royal Assent?,A: When the Queen signs all the Bills passed by the Australian Parliament into Law,B: When the Prime Minister signs all the Bills passed by the Australian Parliament into Law,C: When the President signs all the Bills passed by the Australian Parliament into Law,D: When the Governor-General signs all the Bills passed by the Australian Parliament into Law,4
What happened when the Commonwealth of Australia was established?,A: The democratic institutions stayed the same,B: The new democratic institutions were established under the new American Constitution,C: The new democratic institutions were established under the new Australian Constitution,D: None of the above,4
Can you make false allegations or encourage others to break the law?,A: Yes you can,B: No you can’t,C: You will not be held accountable if they don’t break the law,D: You will not be held accountable even if they listen to you and break the law,4
Can you use a hand-held mobile device while driving?,A: No you can not,B: Yes you can,C: There is no law against or in favour of it,D: It depends on which State you are in,4
Who is appointed as the representative of the Queen of Australia by her?,A: The Prime Minister,B: The President,C: Both A and B,D: The Governor-General,4
Why did an influx of non-British migrants come to Australia?,A: Millions of people in Europe had to leave their homelands after World War II,B: Millions of people in Europe had to leave their homelands after World War I,C: Millions of people in Europe had to leave their homelands after the Industrial Revolution,D: Millions of people in Europe had to leave their homelands after the Dark Ages,4
Why were the convicts sent to Australia?,A: British rules did not allow convicts to stay in Britain,B: British rules were very strict,C: There was no space in the jails to hold more convicts,D: Both B and C,4
Who is the Governor?,A: Queen of Australia,B: Represents the Queen in a role that is similar to the Governor-General,C: The leader of the ruling party,D: None of the above,4
Which two places elect only 2 senators each?,A: Sydney and Melbourne,B: Austria and Australia,C: Australian Capital Territory and Sydney,D: Australian Capital Territory and Northern Territory,4
Who were the first non-European people to come to Australia?,A: Americans,B: Bristishers,C: ScotsScots,D: Chinese,4
What is the capital of Queensland?,A: Brisbane,B: Perth,C: New Castle,D: Sydney,4
What role does the English language play in Australian society?,A: It is just a language and plays the role of communication only,B: It is an important unifying element of American society,C: It is an important unifying element of Australian society,D: All of the above,4
How dependent are the police on the government?,A: It depends on the crime occuring,B: They are fully dependent on the government,C: They are partially dependent on the government,D: They are independent of the government,4
What does the white color symbolise in Torres Strait Islander Flag?,A: War,B: Surrender,C: Peace,D: All of the above,4
What does the jury help the court to decide?,A: If a person is a murderer or not,B: If there is a minor involved,C: If the person has broken the law or not,D: None of the above,4
What is a “Bill”?,A: A law,B: A proposal,C: A fact,D: A request,4
How is a jury selected?,A: The best of the best are chosen,B: The Queen recommends the members of the jury,C: They are selected at random,D: None of the above,4
Who do the judge and magistrate listen to?,A: The people,B: The jury,C: No one they are independent,D: None of the above,4
Are most of the parliamentarians individual representatives?,A: No they always belong to some political party,B: Yes they are,C: Most parliamentarians belong to political parties,D: None of the above,4
Who is Anzac Day named after?,A: After the New Zealand Army Corps,B: After the Australian Army Corps,C: Both A and B,D: None of the above,4
When did the army corps land in turkey during world war I ?,A: On 23rd April 1915,B: On 24th April 1915,C: On 25th April 1915,D: On 26th April 1915,4
In Australia which political party should you join?,A: The winning party,B: The opposition,C: The common man can not join any party,D: People are free to choose any party they want,4
Who represents the people in their electorate?,A: The Prime Minister,B: The Queen,C: Federal Ministers,D: Members of Parliament,4
Why is it important to learn English in Australia?,A: Because it helps to get an education a job and better integrate into the community.,B: Because it helps in marrying off good,C: Because it is the national language,D: All of the above,4
How can Australia ensure that people are not treated differently from others?,A: There are a number of laws for that,B: The police force ensures that,C: The government ensures that,D: All of the above,4
Why are people in Australia provided with a “fair go”?,A: To make sure there are no formal class distinctions in the society,B: To ensure the economy keeps running,C: Both A and B,D: To ensure stability is achieved,4
What is the opposition?,A: The party with the lowest votes in the election,B: The party or coalition of parties with the second largest number of members in the House of Representatives,C: The party with the majority members in the Parliament,D: The party with the highest votes in the election,4
In which countries does Australia have an embassy high commission or consulate?,A: Only neighbouring countries,B: In English-speaking countries,C: In many countries,D: In all the countries of the world,4
What do the Australians think of violence as a way to change a person’s mind or the law?,A: Violence should be exercised when needed,B: Violence under any condition is rejected,C: Violence just for the sake of scaring is allowed,D: None of the above,4
Why is learning to speak English essential?,A: To help you marry someone you love,B: For economic participation,C: For social cohesion,D: Both B And C,4
What does the Australian system of Parliamentary democracy reflect?,A: The North American and British traditions combined,B: The North American and Australian traditions combined,C: Both A and B,D: None of the above,4
Is service in the Australian Defence Force voluntary?,A: No it is obligatory,B: No it is every Australian’s duty to serve in the Australian Defence Force,C: Yes it is voluntary,D: It depends in the laws of government at that time,4
What are the states and the Northern Territory divided into?,A: Local government areas like cities shires towns and municipalities,B: Federal government areas like cities shires towns and municipalities,C: They are divided into schools colleges and farms,D: They are not divided,4
Where do Torres Strait Islander people hail from?,A: They come from the islands of Asia,B: They come from the islands of North America,C: They come from the islands of Africa,D: They come from the islands between the northern tip of Queensland and Papua New Guinea,4
How many Aboriginal and Torres Strait Islander languages are included in Australian culture?,A: More than 50,B: More than 50,C: More than 200,D: More than 100,4
Who approves the appointment of the Prime Minister and Ministers?,A: The ruling Monarch,B: The Queen,C: The Governor,D: The Governor-General,4
Keeping in view the spirit of mateship what sort of traditions does Australia have?,A: Strong tradition of community service and looking after yourself,B: Strong tradition of keeping an eye in other’s business and volunteering,C: Strong tradition of community service and volunteering,D: All of the above,4
Who are the Executives?,A: The Prime Minister,B: The Australian government ministers,C: The Governor-General,D: All of the above,4
What is the overall role of the House of Representatives?,A: To consider debate and vote on proposals for new laws or changes to the laws and discuss matters of national importance,B: Only to change laws and discuss matters of national importance,C: Only to discuss matters of national importance,D: None of the above,4
What are the icons located in Victoria?,A: Melbourne Cricket Ground the 12 Apostles and the Big Ben,B: Melbourne Cricket Ground the 12 Apostles and the River Thames,C: Melbourne Cricket Ground the 12 Apostles and the Royal Exhibition Building,D: All of the above,4
Who delivers the Acknowledgement of Country?,A: The President,B: The Prime Minister,C: The Monarch,D: Anyone,4
Who overlooks the politics of the Northern Territory?,A: An administrator,B: A senator,C: The Chief of Army staff,D: Any of the above,4
Which part of Western Australia is a desert?,A: East of the state,B: North of the state,C: West of the state,D: None of the above,4
What is a referendum?,A: A vote to change the Australian Constitution,B: A vote to change the Australian police,C: A vote to change the Australian democracy,D: All of the above,4
In recent years what has brought people to Australia from all over the world?,A: Hospitality,B: Migration and refugee programs,C: Weather,D: Easy life,4
How does the jury know what the law is?,A: They are given classes and courses,B: The judge tells them what the law is,C: The lawyer tells them what the law is,D: They attend seminars on the working of the law,4
What happened after the gold rush?,A: People from all over the world came to try to make their fortune,B: People from nearby came over to try to make their fortune,C: Word did not spread far,D: All the gold was used by the Australians,4
How many colours does the Torres Strait Islander Flag have?,A: 1,B: 2,C: 3,D: 4,4
Which level of government controls the courts in Australia?,A: The courts in Australia are independent.,B: The federal government,C: The local government,D: Both B and C,4
What does Australia Day celebrate?,A: It is the anniversary of the arrival of the First Fleet from Great Britain in 1788,B: It is the anniversary of the arrival of the Second Fleet from Great Britain in 1788,C: It is the anniversary of the arrival of the Third Fleet from Great Britain in 1788,D: It is the anniversary of the arrival of the Fourth Fleet from Great Britain in 1788,4
Which was the first colony to be established by the Britishers in Australia?,A: Victoria,B: New Queensland,C: Western Australia,D: New South Wales,4
What are some of the serious crimes?,A: Murder assault sexual assault violence against property and people.,B: Armed robbery or theft and having sexual relations with children or young people who are aged below the legal age of consent,C: Dangerous driving of a motor car possession of illegal drugs and fraud.,D: All of the above,4
Which is the largest state in Australia?,A: South Australia,B: Western Australia,C: New South Wales,D: Queensland,4
What is Australia Day all about?,A: Acknowledging and celebrating the Aboriginal and Torres Strait Islander peoples,B: Acknowledging and celebrating the people living in Australia for generations,C: Acknowledging and celebrating the people who come to Australia from all over the globe,D: All of the above,4
Who is the Premier?,A: The Leader of the country,B: The Leader of all the states of Australia,C: The leader of a state government,D: None of the above,4
In which elections is voting compulsory all over Australia?,A: Territory elections,B: Federal and state elections,C: Local government elections,D: Both A and B,4
How many national institutions are located in Canberra?,A: 1,B: 2,C: A few,D: Several,4
What are the icons of South Australia?,A: The 12 Apostles,B: Cradle Mountain,C: Barossa Valley and the Flinders Ranges,D: All of the above,4
